UNLOCODE,Alternative UNLOCODE,Terminal Code,Terminal Facility Name,Terminal Company Name,Last Change,Valid From,Valid Until,Terminal Website,Terminal Address,Remarks,Coordinates
ARBUE,,EXOL,EXOLGAN CONTAINER TERMINAL BUENOS AIRES,EXOLGAN S.A.,2020-08-01,2004-05-31,,https://www.exolgan.com/,"Manuel Alberti 1780, Dock Sud, B1871ESF Avellaneda, Provincia de Buenos Aires, Argentina",,"-34.64, -58.346667"
ARBUE,,TRP,TERMINALES RIO DE LA PLATA (TRP),TERMINALES RIO DE LA PLATA S.A. / DP WORLD,,2005-09-19,,https://www.trp.com.ar/,"Av. Ramón Castillo and Av. Comodoro Py, Puerto Nuevo, C1104BCA Buenos Aires, C.A.B.A., Argentina","Terminals 1,2,3","-34.584722, -58.363056"
ARLPG,,PLP,LA PLATA TERMINAL DE CONTENEDORES (TECPLATA),TECPLATA SA / ICTSI,,2025-02-25,,https://www.tecplata.com/,"Rio de Janeiro Oeste 5071, Puerto La Plata, B1923 Berisso, Provincia de Buenos Aires, Argentina",,"-34.855, -57.888889"
ARLPS,,LPMOL,LAS PALMAS MOLCA,TERMINAL LAS PALMAS MOLCA,,2004-05-31,,https://terminallaspalmas.com/,"Río Paraná, 2800 Zárate, Provincia de Buenos Aires, Argentina",,"-34.021111, -59.1275"
ARMDQ,,COOTR,TC2 MAR DEL PLATA,TC2 MAR DEL PLATA SA,2025-02-25,2004-05-31,,https://www.tc2mdp.com/,"Terminal 2, sección 8va., 7600 Mar del Plata, Provincia de Buenos Aires, Argentina",,"-38.046944, -57.536389"
ARPMY,,PUPUB,PUERTO MADRYN,PUERTO PUBLICO & LOGINTER,2024-12-21,2004-05-31,,https://www.appm.com.ar/,"Almirante Storni Dock, 9120 Puerto Madryn, Provincia de Chubut, Argentina",,"-42.736111, -65.038611"
ARPUD,,PUDES,PUERTO DESEADO,UNIDAD EJECUTORA PORTUARIA DE SANTA CRUZ (UNEPOSC),2023-02-06,2004-05-31,,https://uneposc.com.ar/web/ptodeseado.php,"España s/n, 9050 Puerto Deseado, Provincia de Santa Cruz, Argentina",,"-47.753611, -65.911111"
ARROS,,TROSA,TERMINAL PUERTO ROSARIO,TERMINAL PUERTO ROSARIO S.A.,,2004-05-31,,https://www.tpr.com.ar/,"Av. Belgrano 2015, 2000 Rosario, Provincia de Santa Fe, Argentina",,"-32.976667, -60.618056"
ARSAE,,TSP,TERMINAL SAN ANTONIO ESTE,PATAGONIA NORTE SA TERMINAL DE SERVICIOS PORTUARIOS (TSP),2020-12-01,2004-05-31,,https://www.patagonia-norte.com.ar/sae.html,"Prefectura Naval Argentina, 8521 Puerto San Antonio Este, Provincia de Río Negro, Argentina",,"-40.799167, -64.8825"
ARUSH,,PLS,PATAGONIA LOGISTIC SOLUTIONS SA,PATAGONIA LOGISTIC SOLUTIONS SA,,2004-05-31,,https://www.dpp.gob.ar/web/,"Av. Maipu 510, 9410 Ushuaia, Provincia de Tierra del Fuego, Argentina",,"-54.808889, -68.303333"
