title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Casino,http://www.imdb.com/title/tt0112641/,US,1995,$42.4M,Martin Scorsese,1,"Frank ""Lefty"" Rosenthal",Criminal,Unknown,,0,Male,Robert De Niro
Casino Jack,http://www.imdb.com/title/tt1194417/,Canada,2010,$1.04M,George Hickenlooper,1,Jack Abramoff,Other,Unknown,,0,Male,Kevin Spacey
Cass,http://www.imdb.com/title/tt0954981/,UK,2008,-,Jon S. Baird,1,Cass Pennant,Other,Known,Caribbean,1,Male,Nonso Anozie
Catch a Fire,http://www.imdb.com/title/tt0437232/,US/UK,2006,$4.29M,Phillip Noyce,1,Patrick Chamusso,Activist,Known,African,1,Male,Derek Luke
Catch Me If You Can,http://www.imdb.com/title/tt0264464/,US/Canada,2002,$164M,Steven Spielberg,1,Frank Abagnale Jr.,Criminal,Unknown,,0,Male,Leonardo DiCaprio
Cesar Chavez,http://www.imdb.com/title/tt1621046/,US,2014,$5.55M,Diego Luna,1,Cesar Chavez,Activist,Known,Hispanic (Latino),1,Male,Michael PeÌ±a
Chaplin,http://www.imdb.com/title/tt0103939/,US,1992,$9.49M,Richard Attenborough,1,Charles Spencer Chaplin,Comedian,Known,White,0,Male,Robert Downey Jr.
Charlie Wilson's War,http://www.imdb.com/title/tt0472062/,US,2007,$66.6M,Mike Nichols,1,Charlie Wilson,Military,Unknown,,0,Male,Tom Hanks
Chasing Mavericks,http://www.imdb.com/title/tt1629757/,US,2012,$6M,"Michael Apted, Curtis Hanson",1,Jay Moriarity,Athlete,Unknown,,0,Male,Jonny Weston
Chattahoochee,http://www.imdb.com/title/tt0099242/,US,1989,$259K,Mick Jackson,1,Emmett Foley,Military,Unknown,,0,Male,Gary Oldman
Che: Part One,http://www.imdb.com/title/tt0892255/,US,2008,$1.73M,Steven Soderbergh,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Benicio Del Toro
Che: Part Two,http://www.imdb.com/title/tt0374569/,US,2008,-,Steven Soderbergh,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,DemiÌÁn Bichir
Che!,http://www.imdb.com/title/tt0064158/,US,1969,$2M,Richard Fleischer,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Omar Sharif
Chisum,http://www.imdb.com/title/tt0065547/,US,1970,$6M,Andrew V. McLaglen,1,John Chisum,Other,Unknown,,0,Male,John Wayne
Christopher Columbus: The Discovery,http://www.imdb.com/title/tt0103962/,US/UK,1992,$8.25M,John Glen,1,Christopher Columbus,Other,Known,White,0,Male,Georges Corraface
Ciao Manhattan,http://www.imdb.com/title/tt0068379/,US,1972,-,"John Palmer, David Weisman",1,Edie Sedgwick,Actress,Known,White,0,Female,Edie Sedgwick
Cinderella Man,http://www.imdb.com/title/tt0352248/,US,2005,$61.6M,Ron Howard,1,James Braddock,Athlete,Known,White,0,Male,Russell Crowe
Cleopatra,http://www.imdb.com/title/tt0024991/,US,1934,-,Cecil B. DeMille,1,Cleopatra,Historical,Known,Middle Eastern,1,Female,Claudette Colbert
Cleopatra,http://www.imdb.com/title/tt0056937/,US/UK,1963,$57.8M,Joseph L. Mankiewicz,1,Cleopatra,Historical,Known,Middle Eastern,1,Female,Elizabeth Taylor
Coal Miner's Daughter,http://www.imdb.com/title/tt0080549/,US,1980,$79.9M,Michael Apted,1,Loretta Lynn,Singer,Known,Multi racial,1,Female,Sissy Spacek
Cobb,http://www.imdb.com/title/tt0109450/,US,1994,$1.01M,Ron Shelton,1,Ty Cobb ,Athlete,Known,White,0,Male,Tommy Lee Jones
Communion,http://www.imdb.com/title/tt0097100/,US/UK,1989,$1.92M,Philippe Mora,1,Whitley Strieber,Other,Unknown,,0,Male,Christopher Walken
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,-,Richard Fleischer,2,Nathan Leopold Jr.,Criminal,Known,White,0,Male,Dean Stockwell/Bradford Dillman
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,-,Richard Fleischer,2,Richard Loeb,Criminal,Known,White,0,Male,Dean Stockwell/Bradford Dillman
Confessions of a Dangerous Mind,http://www.imdb.com/title/tt0270288/,US/Canada,2002,-,George Clooney,1,Chuck Barris,Actor,Unknown,,0,Male,Sam Rockwell
Control,http://www.imdb.com/title/tt0421082/,US/UK,2007,$872K,Anton Corbijn,1,Ian Curtis,Musician,Unknown,,0,Male,Sam Riley
Conviction,http://www.imdb.com/title/tt1244754/,US,2010,$6.78M,Tony Goldwyn,1,Betty Anne Waters,Other,Unknown,,0,Female,Hilary Swank
Copying Beethoven,http://www.imdb.com/title/tt0424908/,US,2006,$353K,Agnieszka Holland,1,Ludwig van Beethoven,Musician,Known,White,0,Male,Ed Harris
Counterpunch,http://www.imdb.com/title/tt2051850/,US,2013,-,Kenneth Castillo,1,Alvaro Orlando,Athlete,Known,Hispanic (Latino),1,Male,Alvaro Orlando
Creation,http://www.imdb.com/title/tt0974014/,UK,2009,$341K,Jon Amiel,1,Charles Darwin,Academic,Unknown,,0,Male,Paul Bettany
Cromwell,http://www.imdb.com/title/tt0065593/,UK,1970,-,Ken Hughes,1,Oliver Cromwell ,Historical,Known,White,0,Male,Richard Harris
Cross Creek,http://www.imdb.com/title/tt0085380/,US,1983,$200K,Martin Ritt,1,Marjorie Kinnan Rawlings,Author,Unknown,,0,Female,Mary Steenburgen
