taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31714,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Orophea,Orophea hastata,King,,,,LC,
31715,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon glabrum,(Hook.f. &amp; Thomson) B.Xue &amp; R.M.K.Saunders,,,,CR,
31716,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia hirtifolia,J.Sinclair,,,,CR,
31717,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon hookerianum,(King) B.Xue &amp; R.M.K.Saunders,,,,LC,
31718,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon hypogaeum,(King) B.Xue &amp; R.M.K.Saunders,,,,LR/lc,
31719,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Popowia,Popowia pauciflora,Maingay ex Hook.f. &amp; Thomson,,,,DD,
31720,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Popowia,Popowia perakensis,King,,,,DD,
31721,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria cerina,J.Sinclair,,,,DD,
31722,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria galeata,J.Sinclair,,,,EN,
31724,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria taipingensis,J. Sincl.,,,,CR,
31725,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Trivalvaria,Trivalvaria nervosa,(Hook.f. &amp; Thomson) J.Sinclair,,,,LC,
31726,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Xylopia,Xylopia elliptica,Maingay ex Hook.f. &amp; Thomson,,,,VU,
31727,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Xylopia,Xylopia magna,Maingay ex Hook.f.,,,,LR/lc,
31728,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia profunda,Markgr.,,,,VU,
31729,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia scortechinii,King &amp; Gamble,,,,DD,
31730,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Tabernaemontana,Tabernaemontana polyneura,(King &amp; Gamble) D.J.Middleton,,,,LC,
31731,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex grandiflora,Ridl.,,,,LR/cd,
31732,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex illustris,Ridl.,,,,LR/cd,
31733,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex patens,Ridl.,,,,LR/cd,
31734,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex pauciflora,Ridl.,,,,EN,
31735,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex sclerophylla,Hook.f.,,,,LR/cd,
31736,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex tahanensis,Kiew,,,,LR/cd,
31737,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Polyscias,Polyscias montana,(Ridl.) Lowry &amp; G.M.Plunkett,,,,LR/cd,
31738,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Brassaiopsis,Brassaiopsis minor,B.C.Stone,,,,VU,
31739,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Brassaiopsis,Brassaiopsis simplex,(King) B.C.Stone,,,,VU,
31740,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Durio,Durio macrophyllus,(King) Ridl.,,,,NT,Durian Daun Besar
31741,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Durio,Durio singaporensis,Ridl.,,,,LC,Durian Bujor
31742,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Kostermansia,Kostermansia malayana,Soegeng,,,,VU,Durian Tuang
31743,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,Canarium pseudosumatranum,Leenh.,,,,LR/cd,
31744,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,Canarium reniforme,Kochummen &amp; Whitmore,,,,LR/cd,
31745,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes breviracemosa,Kalkman,,,,VU,
31746,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes kingii,(Engl.) Kalkman,,,,LR/cd,
31747,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes multijuga,Leenh.,,,,VU,
31748,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes puberula,(A.W.Benn.) H.J.Lam,,,,VU,
31749,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Kokoona,Kokoona coriacea,King,,,,VU,
31750,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Kokoona,Kokoona sessilis,Ding Hou,,,,VU,
31751,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Microtropis,Microtropis tenuis,Symington,,,,VU,
31752,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,CLETHRACEAE,Clethra,Clethra hendersonii,Sleumer,,,,LR/cd,
31755,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Melanochyla,Melanochyla longipetiolata,Kochummen,,,,EN,
31756,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Melanochyla,Melanochyla fasciculiflora,Kochummen,,,,CR,
31757,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Cyathocalyx,Cyathocalyx sumatranus,Scheff.,,,,LC,
31758,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia singapurensis,Ridl.,,,,VU,White Kopsia
31759,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Dipterocarpus,Dipterocarpus sublamellatus,Foxw.,,,,EN,
31760,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea latifolia,Symington,,,,DD,
31761,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea montana,Symington,,,,NT,
31762,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea nervosa,King,,,,LC,
31763,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea nutans,Ridl.,,,,NT,
31765,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Parashorea,Parashorea globosa,Symington,,,,CR,White Seraya
31766,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,OXALIDACEAE,Sarcotheca,Sarcotheca monophylla,(Planch. ex Hk.f.) Hallier.f.,,,,LR/nt,
31767,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis cockburnii,Kochummen,,,,VU,
31768,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis montana,Symington ex Kochummen,,,,LR/cd,
31769,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis velutina,(Prain) Sleumer,,,,LC,
